ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
224,simple,PNTMIAADUL,Pantalon Adulto Inter Miami,1,0,visible,Pantalon Adulto Inter Miami,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,L,1,0,,
225,simple,PNTNIKADUL,Pantalon Adulto Nike,1,0,visible,Pantalon Adulto Nike,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,L,1,0,,
226,simple,PNTNIKADUXL,Pantalon Adulto Nike,1,0,visible,Pantalon Adulto Nike,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XL,1,0,,
227,simple,PNTADIADUXL,Pantalon Adulto Adidas,1,0,visible,Pantalon Adulto Adidas,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XL,1,0,,
228,simple,PNTAFAADUXL,Pantalon Adulto AFA,1,0,visible,Pantalon Adulto AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XL,1,0,,
229,simple,PNTAFAADUXL,Pantalon Adulto AFA,1,0,visible,Pantalon Adulto AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XL,1,0,,
230,simple,PNTPSGADUXL,Pantalon Adulto PSG,1,0,visible,Pantalon Adulto PSG,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XL,1,0,,
231,simple,PNTRIVADUXL,Pantalon Adulto River Plate,1,0,visible,Pantalon Adulto River Plate,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XL,1,0,,
232,simple,PNTBOCADUXL,Pantalon Adulto Boca Juniors,1,0,visible,Pantalon Adulto Boca Juniors,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XL,1,0,,
233,simple,PNTRIVADUXXL,Pantalon Adulto River Plate,1,0,visible,Pantalon Adulto River Plate,,,,taxable,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XXL,1,0,,
234,simple,PNTRIVADUXXL,Pantalon Adulto River Plate,1,0,visible,Pantalon Adulto River Plate,,,,taxable,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XXL,1,0,,
235,simple,PNTBOCADUXXXL,Pantalon Adulto Boca Juniors,1,0,visible,Pantalon Adulto Boca Juniors,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XXXL,1,0,,
236,simple,PNTRIVADUXXXL,Pantalon Adulto River Plate,1,0,visible,Pantalon Adulto River Plate,,,,taxable,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XXXL,1,0,,
237,simple,PNTMIAADUXXXL,Pantalon Adulto Inter Miami,1,0,visible,Pantalon Adulto Inter Miami,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,XXXL,1,0,,
